Geography,Geographic Area Name,"No one age 14 and over speaks English only or speaks English very well""!!Estimate!!All households""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!All households""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!Households speaking!!Spanish""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!Households speaking!!Spanish""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!Households speaking!!Other Indo-European languages""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!Households speaking!!Other Indo-European languages""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!Households speaking!!Asian and Pacific Island languages""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!Households speaking!!Asian and Pacific Island languages""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!Households speaking!!Other languages""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!Households speaking!!Other languages""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!PERCENT IMPUTED!!Language status""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!PERCENT IMPUTED!!Language status""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!PERCENT IMPUTED!!Language status (speak a language other than English)""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!PERCENT IMPUTED!!Language status (speak a language other than English)""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!PERCENT IMPUTED!!Ability to speak English""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!PERCENT IMPUTED!!Ability to speak English"""
0400000US48,Texas,8.1,0.1,24.8,0.2,10.9,0.5,27,0.6,14.9,1.1,2.8,(X),2.3,(X),2.8,(X)
0500000US48001,"Anderson County, Texas",1.6,0.6,17.2,6.3,0,54.6,3.9,11.6,0,52.4,3.3,(X),5.4,(X),6.1,(X)
0500000US48003,"Andrews County, Texas",10.9,3.3,25.2,7.2,0,63.7,29.7,32,-,**,2.6,(X),0.9,(X),1.1,(X)
0500000US48005,"Angelina County, Texas",3.6,0.8,25.4,5.2,0.6,1.2,0,29.2,0,67.9,3.1,(X),2.6,(X),3.3,(X)
0500000US48007,"Aransas County, Texas",2.6,1,13.8,5.6,0,40.5,4,8.4,65,58.5,1.9,(X),0.6,(X),3.3,(X)
0500000US48009,"Archer County, Texas",1.2,0.7,24.4,12.5,0,92,0,96,-,**,2.6,(X),1.4,(X),3.2,(X)
0500000US48011,"Armstrong County, Texas",0,5.5,0,100,-,**,0,96,-,**,4.1,(X),0,(X),2.4,(X)
0500000US48013,"Atascosa County, Texas",9.5,1.8,18.8,3.6,25,37.3,50,50,0,69.5,2.9,(X),3,(X),3.3,(X)
0500000US48015,"Austin County, Texas",3.8,1.4,22,9,14.8,9.3,40.6,49.7,-,**,2.9,(X),4.1,(X),4.4,(X)
0500000US48017,"Bailey County, Texas",13.5,6.1,26.7,11.7,-,**,-,**,-,**,2.2,(X),0.9,(X),0.9,(X)
0500000US48019,"Bandera County, Texas",0.5,0.4,3.2,3.5,1.9,3.6,13.3,23.3,-,**,2.1,(X),1.2,(X),0.7,(X)
0500000US48021,"Bastrop County, Texas",5.4,1.4,24.6,5.7,0,12.2,8.3,13.2,0,44.6,2.5,(X),2.3,(X),3.1,(X)
0500000US48023,"Baylor County, Texas",0.7,1,15.9,18.7,0,55.5,-,**,-,**,2.7,(X),2.2,(X),2.2,(X)
0500000US48025,"Bee County, Texas",7.2,1.9,16,4,0,45.5,0,50.4,0,60.2,1.5,(X),1,(X),2.1,(X)
0500000US48027,"Bell County, Texas",3,0.4,16.8,2.4,6.4,2.5,15.1,4.3,0,8.1,2.7,(X),2,(X),2.6,(X)
0500000US48029,"Bexar County, Texas",7.2,0.3,14.4,0.5,9.3,1.6,20.8,2.7,16.8,5.6,2.9,(X),2.7,(X),3.2,(X)
0500000US48031,"Blanco County, Texas",6,2.1,35.5,12.1,0,35.3,0,100,100,100,4.7,(X),7.5,(X),7.5,(X)
0500000US48033,"Borden County, Texas",0,14.5,0,71.2,0,100,-,**,-,**,1.7,(X),0,(X),0,(X)
0500000US48035,"Bosque County, Texas",2.9,1.2,27.6,9.9,0,58.2,0,100,0,100,2.3,(X),3.2,(X),4.6,(X)
0500000US48037,"Bowie County, Texas",1.1,0.4,18.6,8.4,1,1.5,20.9,12.5,22.8,43.9,2.9,(X),2.9,(X),3.6,(X)
0500000US48039,"Brazoria County, Texas",3.8,0.5,14.3,1.8,7.1,3.7,19.8,5.2,7.7,11.7,2.6,(X),1.6,(X),2.4,(X)
0500000US48041,"Brazos County, Texas",6.5,0.7,27.2,3.6,18.7,5.2,34.5,6.9,8,8.9,2.9,(X),2.6,(X),3.1,(X)
0500000US48043,"Brewster County, Texas",3.6,1.6,8.5,3.8,10,19.7,0,67.9,-,**,2.1,(X),1.6,(X),1.6,(X)
0500000US48045,"Briscoe County, Texas",5,2.6,29.2,14.3,-,**,-,**,-,**,0.8,(X),0.7,(X),0.7,(X)
0500000US48047,"Brooks County, Texas",19.8,5.7,22,6.4,-,**,70.8,52.2,-,**,1.9,(X),0.9,(X),1.1,(X)
0500000US48049,"Brown County, Texas",1.7,0.7,14.8,6.1,23.4,31.6,63.4,33.8,-,**,2.1,(X),4.9,(X),5.7,(X)
0500000US48051,"Burleson County, Texas",2.7,1.6,21,12.5,29.5,34.6,0,63.7,-,**,6.4,(X),14.4,(X),15.2,(X)
0500000US48053,"Burnet County, Texas",3.5,1.3,25.8,8.7,14.6,24.6,79,28.9,0,66.4,3.3,(X),4.7,(X),4.4,(X)
0500000US48055,"Caldwell County, Texas",3.7,1,10.5,2.7,0,55.5,0,82.3,-,**,3.6,(X),2.5,(X),2.8,(X)
0500000US48057,"Calhoun County, Texas",7.1,1.5,21.6,4.9,0,39.5,52.4,22.8,0,100,2.4,(X),2.2,(X),3,(X)
0500000US48059,"Callahan County, Texas",0.4,0.4,7.7,7,0,63.7,0,100,0,66.4,2.5,(X),2.5,(X),2.6,(X)
0500000US48061,"Cameron County, Texas",18.1,0.7,24.1,1,11.4,6,18.2,7.9,5.8,8.5,2.7,(X),2.7,(X),3,(X)
0500000US48063,"Camp County, Texas",5.9,2.1,38.1,13.6,66.7,55.7,0,100,73.3,53.5,1.5,(X),0,(X),0.8,(X)
0500000US48065,"Carson County, Texas",0.6,0.9,8,12.2,0,88.4,0,100,-,**,3.1,(X),0,(X),0,(X)
0500000US48067,"Cass County, Texas",0.6,0.4,17.4,11,0,35.8,24.5,25.7,0,85.1,1.8,(X),1.3,(X),4,(X)
0500000US48069,"Castro County, Texas",14.5,3.9,30,7.9,0,100,0,92,-,**,1.7,(X),1.6,(X),2,(X)
0500000US48071,"Chambers County, Texas",3.5,1.4,19.1,8.5,2,3.6,30,38,0,92,2.8,(X),2.8,(X),4.1,(X)
0500000US48073,"Cherokee County, Texas",3.8,0.8,30.3,6.7,10.6,23.3,22.6,33,0,59.2,2.5,(X),0.7,(X),0.8,(X)
0500000US48075,"Childress County, Texas",2,2.4,5.4,11.1,77.3,45.2,0,92,-,**,4.3,(X),1.3,(X),2.5,(X)
0500000US48077,"Clay County, Texas",0.4,0.4,15.2,14.9,0,66.4,0,100,-,**,3.4,(X),5.9,(X),6.2,(X)
0500000US48079,"Cochran County, Texas",11.9,4.1,26.4,8.6,0,88.4,0,100,-,**,1.8,(X),1.2,(X),0.9,(X)
0500000US48081,"Coke County, Texas",0.7,0.7,5,5.2,0,100,-,**,-,**,1.8,(X),4,(X),7,(X)
0500000US48083,"Coleman County, Texas",1.4,1,23.3,15.4,0,62.5,0,100,-,**,3.2,(X),14.2,(X),15.9,(X)
0500000US48085,"Collin County, Texas",5.4,0.3,21.3,1.8,15.1,2.3,24.9,2.3,8.5,2.8,2.2,(X),1.7,(X),2.4,(X)
0500000US48087,"Collingsworth County, Texas",5.3,3.5,21.8,15.6,53.3,53.3,-,**,0,100,2.4,(X),1.5,(X),1.5,(X)
0500000US48089,"Colorado County, Texas",3.2,1.3,16.3,6.9,9.6,14.8,60,59,-,**,3.1,(X),1.8,(X),2.1,(X)
0500000US48091,"Comal County, Texas",2.5,0.6,12.5,2.9,2.8,2.2,20.4,17.4,41.9,53.4,3.2,(X),3,(X),3.4,(X)
0500000US48093,"Comanche County, Texas",3,1.2,18.8,7.4,13.5,24.3,0,100,-,**,3.7,(X),0.5,(X),1.4,(X)
0500000US48095,"Concho County, Texas",5.9,3.4,27,14.6,50,50,-,**,-,**,14.3,(X),25.9,(X),26.7,(X)
0500000US48097,"Cooke County, Texas",3.5,1,28.7,7.6,0,34.5,34,32.9,0,60.2,3.3,(X),1.9,(X),2.2,(X)
0500000US48099,"Coryell County, Texas",1.6,0.7,9.4,5,3.5,3.4,12.4,8.3,17,30.1,2.9,(X),3.9,(X),4.6,(X)
0500000US48101,"Cottle County, Texas",1.7,1.2,11.8,9.3,0,100,-,**,-,**,2.5,(X),0,(X),1.8,(X)
0500000US48103,"Crane County, Texas",11.3,4.1,24.2,8.6,-,**,-,**,-,**,0.9,(X),1.7,(X),1.7,(X)
0500000US48105,"Crockett County, Texas",11.7,4.6,25.1,9.6,0,100,-,**,-,**,0.8,(X),1.3,(X),1.3,(X)
0500000US48107,"Crosby County, Texas",7.7,2.1,20.2,5.3,0,100,-,**,-,**,1.8,(X),1.6,(X),1.8,(X)
0500000US48109,"Culberson County, Texas",12.2,6.1,17.1,8.4,0,82.3,-,**,0,100,0.3,(X),0,(X),0,(X)
0500000US48111,"Dallam County, Texas",9.2,4.5,31.4,14.6,37.1,34.4,30,57.7,-,**,0.7,(X),1.5,(X),2.3,(X)
0500000US48113,"Dallas County, Texas",10.6,0.2,32.1,0.7,14.2,1.6,30,1.9,18.7,2.9,2.4,(X),1.9,(X),2.2,(X)
0500000US48115,"Dawson County, Texas",10.3,2.6,25.8,6.1,6.5,8.6,-,**,-,**,3.7,(X),3.3,(X),3.5,(X)
0500000US48117,"Deaf Smith County, Texas",15,2.8,26.6,4.9,30,38.2,0,61.3,81.1,40.4,1.8,(X),1.2,(X),1.2,(X)
0500000US48119,"Delta County, Texas",1.7,1.5,60,31.8,0,100,-,**,0,100,6.2,(X),3.4,(X),3.4,(X)
0500000US48121,"Denton County, Texas",4.7,0.3,24.3,1.9,8.4,2,24.5,3.8,3.2,2.2,2.4,(X),1.9,(X),2.6,(X)
0500000US48123,"DeWitt County, Texas",3.3,1.3,16.1,5.7,2.4,3.9,0,82.3,0,88.4,1.2,(X),1.3,(X),2.6,(X)
0500000US48125,"Dickens County, Texas",2.6,1.5,21.5,10.5,-,**,-,**,-,**,6.7,(X),4.7,(X),4.7,(X)
0500000US48127,"Dimmit County, Texas",26.8,4.8,30.8,5.5,-,**,-,**,0,51,1.3,(X),1.5,(X),2.7,(X)
0500000US48129,"Donley County, Texas",0.7,0.6,12.3,12.4,0,62.5,33.3,66.7,-,**,2.9,(X),0,(X),2,(X)
0500000US48131,"Duval County, Texas",18.4,4.2,21.8,4.7,-,**,0,100,-,**,4,(X),3.1,(X),3.5,(X)
0500000US48133,"Eastland County, Texas",1.4,1.1,19.2,13.4,0,65,0,96,-,**,4,(X),3.6,(X),3.9,(X)
0500000US48135,"Ector County, Texas",7,0.9,16,2,8,9.4,14.2,12.4,21.8,25.5,3.4,(X),2.6,(X),3,(X)
0500000US48137,"Edwards County, Texas",8.7,4.3,18,8.9,-,**,-,**,-,**,1.3,(X),0.5,(X),1.2,(X)
0500000US48139,"Ellis County, Texas",4.2,0.7,22.6,3.5,6.2,5.2,8.6,10.5,6.5,11.4,3.1,(X),2.2,(X),2.6,(X)
0500000US48141,"El Paso County, Texas",20.4,0.6,26.1,0.8,14,5,26.9,6.1,10.7,11.4,2,(X),1.9,(X),2.1,(X)
0500000US48143,"Erath County, Texas",3,1.1,17.4,6,0,26.5,17.6,21.5,-,**,3.7,(X),3,(X),4.5,(X)
0500000US48145,"Falls County, Texas",3.8,1.2,26.8,8.4,2.5,5.9,68.6,49.1,-,**,2.2,(X),3.1,(X),3.3,(X)
0500000US48147,"Fannin County, Texas",1.4,0.8,22.7,10.5,0,31,5,9.2,-,**,4.3,(X),4.7,(X),4.3,(X)
0500000US48149,"Fayette County, Texas",4.8,1.3,31.4,9.1,7.3,5,-,**,-,**,2.1,(X),0.9,(X),0.9,(X)
0500000US48151,"Fisher County, Texas",2.4,1.3,10.1,5.4,0,82.3,-,**,-,**,6.1,(X),6,(X),6.4,(X)
0500000US48153,"Floyd County, Texas",9.5,2.8,20.8,6,0,100,-,**,-,**,1.9,(X),0.7,(X),1.5,(X)
0500000US48155,"Foard County, Texas",1.7,2,16.7,19,0,100,0,100,-,**,2.1,(X),1.8,(X),1.8,(X)
0500000US48157,"Fort Bend County, Texas",6.5,0.4,16.9,1.6,9.7,2.1,22.1,2.5,10,4.1,2.6,(X),2.3,(X),2.7,(X)
0500000US48159,"Franklin County, Texas",3.6,2.2,27.2,15.8,0,79.6,100,63.7,-,**,3.2,(X),3.7,(X),3.7,(X)
0500000US48161,"Freestone County, Texas",3.1,1.3,31.1,16.6,28.1,40.6,100,92,100,100,2.5,(X),0.9,(X),3.1,(X)
0500000US48163,"Frio County, Texas",11.6,3.1,16.7,4.4,37.5,55.6,-,**,-,**,2.6,(X),2.5,(X),9.3,(X)
0500000US48165,"Gaines County, Texas",14.8,3.7,28.1,7.6,32,13,39.7,57.5,-,**,3.7,(X),0.9,(X),1.2,(X)
0500000US48167,"Galveston County, Texas",3.5,0.4,17.7,2.2,6.5,3.1,26.7,6.5,4,4.5,3.8,(X),3.5,(X),4.5,(X)
0500000US48169,"Garza County, Texas",9.2,4.7,32.6,15,0,100,-,**,-,**,2,(X),1.8,(X),2.3,(X)
0500000US48171,"Gillespie County, Texas",4,1.4,23.6,8.7,6.9,4.1,0,61.3,0,85.1,5.2,(X),6.4,(X),6.7,(X)
0500000US48173,"Glasscock County, Texas",7.7,6.3,35.5,26.1,-,**,-,**,-,**,0.8,(X),0,(X),0,(X)
0500000US48175,"Goliad County, Texas",3.7,1.6,16,6.7,0,38.6,0,100,-,**,2.1,(X),1.6,(X),2.5,(X)
0500000US48177,"Gonzales County, Texas",7.5,1.5,18.4,3.7,6.6,9,0,92,0,100,1.7,(X),1.3,(X),1.7,(X)
0500000US48179,"Gray County, Texas",4.1,1.4,23.6,8.5,0,38.3,31.5,31.9,-,**,2.3,(X),1.3,(X),2.5,(X)
0500000US48181,"Grayson County, Texas",2.1,0.4,25.9,5.4,7,6.4,22.9,16.5,0,24.5,4.7,(X),3,(X),4.2,(X)
0500000US48183,"Gregg County, Texas",3.5,0.5,28.2,4.4,13.7,12.5,6.8,6.1,9.5,14.4,2.6,(X),2.2,(X),3.1,(X)
0500000US48185,"Grimes County, Texas",4.3,1.4,29.3,8.8,6.8,11.3,51.2,51.2,0,62.5,2.6,(X),2.1,(X),3.1,(X)
0500000US48187,"Guadalupe County, Texas",3.9,0.7,13.3,2.4,3.1,2.7,11.1,7.5,0,41.8,2.5,(X),2.5,(X),3.2,(X)
0500000US48189,"Hale County, Texas",7.5,1.5,16.8,3.2,5.7,10.8,25,31.6,-,**,2.1,(X),2.1,(X),2.2,(X)
0500000US48191,"Hall County, Texas",4.6,2,27.1,12.1,0,65,0,100,0,100,1.9,(X),0,(X),0,(X)
0500000US48193,"Hamilton County, Texas",2.5,1.4,25,13.5,100,96,100,100,-,**,3.2,(X),1.7,(X),1.7,(X)
0500000US48195,"Hansford County, Texas",8.4,3,24.7,8.4,0,100,28.6,45.7,-,**,3.1,(X),4.1,(X),4.6,(X)
0500000US48197,"Hardeman County, Texas",3.5,2.2,25.2,14.8,-,**,0,69.5,-,**,0.9,(X),0.8,(X),0.8,(X)
0500000US48199,"Hardin County, Texas",0.7,0.3,11.5,7.8,10.7,14.6,56.1,26.7,0,96,2.6,(X),1.3,(X),5.4,(X)
0500000US48201,"Harris County, Texas",12.2,0.2,33,0.6,12.2,0.8,32.5,1.4,17.2,2.4,2.9,(X),2.5,(X),2.9,(X)
0500000US48203,"Harrison County, Texas",2.3,0.8,29.4,9.2,3.9,6.4,31.8,42.7,0,52.4,3.6,(X),2.3,(X),2.5,(X)
0500000US48205,"Hartley County, Texas",5.8,3.8,37.9,17.9,0,77.3,-,**,-,**,2.3,(X),0,(X),0.7,(X)
0500000US48207,"Haskell County, Texas",3.6,1.8,21.7,11.5,0,88.4,-,**,-,**,2.3,(X),4.3,(X),6.3,(X)
0500000US48209,"Hays County, Texas",3.1,0.5,11.5,2,1.8,1.7,12.7,9.2,0,22.3,3.6,(X),3.2,(X),3.9,(X)
0500000US48211,"Hemphill County, Texas",8.4,4.8,41.5,18.3,0,100,-,**,-,**,1.4,(X),3,(X),2,(X)
0500000US48213,"Henderson County, Texas",1.2,0.4,13.3,5.1,11,12.1,24.2,30.2,0,100,2.6,(X),2.2,(X),2.2,(X)
0500000US48215,"Hidalgo County, Texas",21,0.6,24.3,0.7,20.7,10.2,21.4,6.5,0,9.8,1.9,(X),1.7,(X),1.9,(X)
0500000US48217,"Hill County, Texas",3.5,0.8,27.5,6.2,0,16.5,26.7,39.1,0,77.3,2.2,(X),2.2,(X),2.5,(X)
0500000US48219,"Hockley County, Texas",4.6,1.7,12.1,4.6,0,53.8,36.4,32.2,100,96,1.8,(X),1,(X),1.1,(X)
0500000US48221,"Hood County, Texas",1.2,0.6,14.9,6.2,0,16.6,12,19.4,-,**,2.6,(X),4.1,(X),3.8,(X)
0500000US48223,"Hopkins County, Texas",3.2,1,30.9,9.1,12.2,17.4,20,26,0,79.6,2.6,(X),0.5,(X),1.1,(X)
0500000US48225,"Houston County, Texas",1.6,0.7,21.4,11.2,0,32.7,51.2,47.2,-,**,2.5,(X),0.7,(X),1.5,(X)
0500000US48227,"Howard County, Texas",2.9,1.1,13.5,5.1,0,32.4,23.9,32.1,0,100,9.3,(X),22.7,(X),23.2,(X)
0500000US48229,"Hudspeth County, Texas",22,5.8,26.6,7.1,0,69.5,-,**,-,**,1,(X),0.8,(X),0.8,(X)
