Geography,Geographic Area Name,"No one age 14 and over speaks English only or speaks English very well""!!Estimate!!All households""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!All households""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!Households speaking!!Spanish""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!Households speaking!!Spanish""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!Households speaking!!Other Indo-European languages""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!Households speaking!!Other Indo-European languages""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!Households speaking!!Asian and Pacific Island languages""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!Households speaking!!Asian and Pacific Island languages""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!Households speaking!!Other languages""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!Households speaking!!Other languages""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!PERCENT IMPUTED!!Language status""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!PERCENT IMPUTED!!Language status""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!PERCENT IMPUTED!!Language status (speak a language other than English)""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!PERCENT IMPUTED!!Language status (speak a language other than English)""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!PERCENT IMPUTED!!Ability to speak English""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!PERCENT IMPUTED!!Ability to speak English"""
0500000US48231,"Hunt County, Texas",1.8,0.5,17.5,4.9,1.3,2.3,22.4,26.5,15.7,29.1,3,(X),2.7,(X),3.8,(X)
0500000US48233,"Hutchinson County, Texas",2.5,0.8,16.8,5.7,0,56.3,10,14.7,-,**,3.7,(X),4.4,(X),4.9,(X)
0500000US48235,"Irion County, Texas",4.4,3,21,15.3,-,**,0,100,-,**,1.6,(X),0,(X),0,(X)
0500000US48237,"Jack County, Texas",1.5,1.2,15.8,14.7,0,62.5,100,100,-,**,4.3,(X),4.8,(X),5.5,(X)
0500000US48239,"Jackson County, Texas",3.4,1.4,16.1,6.5,0,19.9,100,100,-,**,2.6,(X),2.6,(X),2.9,(X)
0500000US48241,"Jasper County, Texas",1.8,0.6,31,11.9,9.8,12.7,51,51,0,79.6,2.4,(X),3.2,(X),4.3,(X)
0500000US48243,"Jeff Davis County, Texas",2,1.6,4.5,3.7,0,100,-,**,-,**,2.1,(X),3.1,(X),3.3,(X)
0500000US48245,"Jefferson County, Texas",4.6,0.6,32,3.7,10.3,4.4,21.4,6.9,6.9,8.1,3.9,(X),1.8,(X),3.2,(X)
0500000US48247,"Jim Hogg County, Texas",16.5,5.4,17.9,5.9,-,**,-,**,0,75.1,3.2,(X),1.6,(X),1.5,(X)
0500000US48249,"Jim Wells County, Texas",9.2,1.5,13.5,2.2,0,37.5,100,73.1,0,88.4,4.4,(X),4.2,(X),4.1,(X)
0500000US48251,"Johnson County, Texas",2.7,0.5,20,3.9,1,1.4,35.3,15.4,0,29.4,2.9,(X),2.5,(X),3.8,(X)
0500000US48253,"Jones County, Texas",2.2,1.1,12.4,6,21.7,33.3,0,66.4,0,100,3.1,(X),2,(X),2.4,(X)
0500000US48255,"Karnes County, Texas",6.7,2,15,4.5,10.9,9.9,-,**,-,**,1.6,(X),2,(X),3.4,(X)
0500000US48257,"Kaufman County, Texas",3.4,0.7,25.6,4.7,1.9,3.6,21.4,20.5,0,41.5,2.5,(X),1.8,(X),2.4,(X)
0500000US48259,"Kendall County, Texas",3.1,1.1,17.9,6.2,0,9.4,38.7,45.2,-,**,4.5,(X),3.4,(X),5,(X)
0500000US48261,"Kenedy County, Texas",8.9,11.7,27.3,32.3,-,**,-,**,-,**,2.6,(X),11.8,(X),11.8,(X)
0500000US48263,"Kent County, Texas",2.8,3.8,37.9,53,-,**,-,**,-,**,1.5,(X),0,(X),0,(X)
0500000US48265,"Kerr County, Texas",3.3,0.9,16.6,4.8,23.6,18.7,9.3,18.6,0,100,3.7,(X),2.2,(X),2.7,(X)
0500000US48267,"Kimble County, Texas",3.9,2.4,18,10.7,100,100,-,**,-,**,3.7,(X),6.7,(X),6.7,(X)
0500000US48269,"King County, Texas",3.9,5.3,0,100,100,100,-,**,-,**,0,(X),0,(X),0,(X)
0500000US48271,"Kinney County, Texas",7,3.9,13.3,7.7,0,41.8,23.1,44.6,-,**,0.5,(X),0.7,(X),0.7,(X)
0500000US48273,"Kleberg County, Texas",9.1,2,15.1,3.4,10.1,15.7,30.3,22.9,0,100,2.7,(X),2.2,(X),2.7,(X)
0500000US48275,"Knox County, Texas",6.1,1.9,24.2,7.9,28.6,40,-,**,-,**,1.5,(X),0,(X),0.3,(X)
0500000US48277,"Lamar County, Texas",1.2,0.5,14.9,8.7,20.8,14.1,34.5,24.4,0,79.6,3.8,(X),0.5,(X),0.8,(X)
0500000US48279,"Lamb County, Texas",9.8,2,24.1,4.7,0,100,0,100,-,**,1.4,(X),0.3,(X),0.7,(X)
0500000US48281,"Lampasas County, Texas",2,1,13.1,7.5,4.6,7.2,15,26.7,66.7,55.2,1.4,(X),0.4,(X),1.1,(X)
0500000US48283,"La Salle County, Texas",16.3,5.5,23.6,7.4,-,**,0,96,-,**,2.9,(X),2.8,(X),3.2,(X)
0500000US48285,"Lavaca County, Texas",3.7,1.3,22.7,8.5,5,3.6,29.4,47.8,-,**,2.6,(X),3.6,(X),4.5,(X)
0500000US48287,"Lee County, Texas",3.5,1.8,20.5,10.3,11.3,8,0,51.7,0,63.7,3.4,(X),1.5,(X),1.9,(X)
0500000US48289,"Leon County, Texas",2.4,1.1,33.7,12.8,9.1,35.1,-,**,-,**,2.7,(X),5.5,(X),5.5,(X)
0500000US48291,"Liberty County, Texas",2.8,0.8,19.3,5.4,13.6,9.9,0,38.3,0,82.3,2.8,(X),1.6,(X),2.1,(X)
0500000US48293,"Limestone County, Texas",5.2,1.5,46.8,9.8,20,21.7,68.2,40,0,100,3.4,(X),2.4,(X),4.5,(X)
0500000US48295,"Lipscomb County, Texas",5.8,2.7,28.6,11.7,0,100,0,100,0,100,1.5,(X),1.3,(X),3.3,(X)
0500000US48297,"Live Oak County, Texas",4.5,1.7,14.8,5.5,0,49.7,0,79.6,-,**,2.3,(X),4.4,(X),4.4,(X)
0500000US48299,"Llano County, Texas",1.2,0.8,22.4,15.4,7.3,11.9,0,85.1,-,**,2.6,(X),5.1,(X),5.1,(X)
0500000US48301,"Loving County, Texas",0,53.8,-,**,-,**,-,**,-,**,0,(X),-,(X),-,(X)
0500000US48303,"Lubbock County, Texas",3,0.4,10.7,1.5,6,4,30.5,8.9,10.4,9.3,2.7,(X),1.8,(X),2.3,(X)
0500000US48305,"Lynn County, Texas",10,2.6,22.8,6,71.1,24,-,**,0,100,0.6,(X),0.2,(X),0.5,(X)
0500000US48307,"McCulloch County, Texas",2.3,1.7,10.2,7.2,0,100,0,58.2,-,**,3.2,(X),3.2,(X),4.8,(X)
0500000US48309,"McLennan County, Texas",5,0.5,27.3,2.6,5.1,3.4,37.1,11,19.6,19.9,2.8,(X),2.4,(X),3,(X)
0500000US48311,"McMullen County, Texas",5.5,4.9,12.3,11.3,-,**,-,**,-,**,3,(X),6.3,(X),6.3,(X)
0500000US48313,"Madison County, Texas",1.4,3.1,16.8,34.7,0,67.9,0,85.1,0,100,2.3,(X),1.9,(X),1.9,(X)
0500000US48315,"Marion County, Texas",0.3,0.3,3,6,0,66.4,75,42.1,0,100,3.3,(X),2.4,(X),2.4,(X)
0500000US48317,"Martin County, Texas",6.9,2.2,22.9,8.6,46.2,27.1,-,**,0,100,2.2,(X),3.8,(X),3.8,(X)
0500000US48319,"Mason County, Texas",6.9,3.2,44.2,14.7,0,40.8,-,**,-,**,5.2,(X),4.6,(X),4.6,(X)
0500000US48321,"Matagorda County, Texas",5.8,1.5,18.4,5.6,19.7,17.5,37.2,28.1,0,92,3.1,(X),4.2,(X),4.4,(X)
0500000US48323,"Maverick County, Texas",36,2.9,37.2,2.9,18.6,33.6,100,58.2,51.3,38.4,2.1,(X),2,(X),2.2,(X)
0500000US48325,"Medina County, Texas",6.4,1.3,15.4,3.1,0,14.4,0,45.1,-,**,2,(X),1.3,(X),2.2,(X)
0500000US48327,"Menard County, Texas",5.5,3.8,21.3,13.1,0,85.1,-,**,-,**,2.1,(X),0,(X),0.6,(X)
0500000US48329,"Midland County, Texas",6.1,0.7,19,2.3,3.9,4,37.6,15.6,0,17.8,3.3,(X),2.9,(X),3.2,(X)
0500000US48331,"Milam County, Texas",3.6,1.1,24.5,7.3,0,18.6,0,57.2,-,**,3,(X),2,(X),2.1,(X)
0500000US48333,"Mills County, Texas",1.9,1.8,17.4,14.7,0,85.1,-,**,0,100,1.2,(X),0,(X),1.1,(X)
0500000US48335,"Mitchell County, Texas",4.5,2,14.3,6.2,0,66.4,-,**,-,**,3,(X),3,(X),3,(X)
0500000US48337,"Montague County, Texas",0.7,0.5,8.5,5.8,0,38.6,0,77.3,0,79.6,2.8,(X),1.2,(X),1.1,(X)
0500000US48339,"Montgomery County, Texas",4.3,0.4,26.2,2.3,5.1,1.8,22,5.7,7,7.4,3.5,(X),2.7,(X),3.5,(X)
0500000US48341,"Moore County, Texas",15,2.7,28.7,5.7,0,23.5,80.2,16.5,50,36.3,1.6,(X),0.9,(X),0.9,(X)
0500000US48343,"Morris County, Texas",1.7,0.8,31.7,16.6,0,100,100,100,0,96,2.8,(X),1.5,(X),2.7,(X)
0500000US48345,"Motley County, Texas",0,7.9,0,47.5,-,**,0,100,-,**,0.2,(X),0.9,(X),0.9,(X)
0500000US48347,"Nacogdoches County, Texas",3.7,0.7,28.1,5.8,13.8,14.1,26,24.5,55.8,39,2.1,(X),2.2,(X),2.8,(X)
0500000US48349,"Navarro County, Texas",6.3,1.1,37.2,6.3,2.9,5.4,13.6,20,-,**,2.7,(X),2,(X),2.2,(X)
0500000US48351,"Newton County, Texas",0.5,0.4,10.9,16.5,12.5,21,11.6,26.8,0,100,10.5,(X),2.8,(X),2.9,(X)
0500000US48353,"Nolan County, Texas",3.3,1.3,13.2,5,0,63.7,0,100,0,100,4.3,(X),5.1,(X),6.1,(X)
0500000US48355,"Nueces County, Texas",7.4,0.5,15,1.1,7.1,3.1,17.7,6.5,0,11.6,2.5,(X),2.1,(X),2.5,(X)
0500000US48357,"Ochiltree County, Texas",13.9,3.4,34.7,7.9,0,92,30.8,48.8,-,**,2,(X),0.5,(X),1,(X)
0500000US48359,"Oldham County, Texas",1,1.2,13.5,15.6,0,100,-,**,-,**,0.8,(X),0,(X),0,(X)
0500000US48361,"Orange County, Texas",1.3,0.6,14.7,9.3,8.2,5.9,34.1,20.4,0,55.5,7,(X),6.3,(X),6.9,(X)
0500000US48363,"Palo Pinto County, Texas",3.5,0.8,28.4,6.7,4.2,7.1,65.5,43.3,0,100,5.1,(X),6.7,(X),7.7,(X)
0500000US48365,"Panola County, Texas",1.3,0.8,26,14.4,0,75.1,0,55.5,-,**,2.4,(X),2.5,(X),2.2,(X)
0500000US48367,"Parker County, Texas",1.4,0.4,15.8,4.5,0,8.3,13.4,12.6,0,20.3,4.1,(X),3.2,(X),4.4,(X)
0500000US48369,"Parmer County, Texas",13.3,2.9,28.3,5.9,0,67.9,0,100,-,**,1.1,(X),0.7,(X),0.8,(X)
0500000US48371,"Pecos County, Texas",13.8,3,20.8,4.3,100,51.7,-,**,-,**,2,(X),0.9,(X),1,(X)
0500000US48373,"Polk County, Texas",2.2,0.8,22.6,7.9,0,13.2,38.1,43.3,10.1,9.1,3.2,(X),1.8,(X),3.4,(X)
0500000US48375,"Potter County, Texas",7,0.8,22.7,3,9,7.7,43.8,8.6,48.7,19.6,3.2,(X),3.1,(X),3.6,(X)
0500000US48377,"Presidio County, Texas",29.6,5.6,37.3,6.7,0,43.3,-,**,-,**,0,(X),0,(X),0.4,(X)
0500000US48379,"Rains County, Texas",0.7,0.9,10.4,15.7,31.3,43.9,0,100,0,100,2.4,(X),5.1,(X),5.8,(X)
0500000US48381,"Randall County, Texas",1.7,0.4,10,3,16.2,11.3,39,12.3,8.7,9.2,2.6,(X),1.6,(X),3.1,(X)
0500000US48383,"Reagan County, Texas",13.9,4.7,27.8,9.6,-,**,-,**,0,100,2.1,(X),2,(X),2,(X)
0500000US48385,"Real County, Texas",3.2,2.4,14.4,10,-,**,100,100,-,**,3.8,(X),0,(X),0,(X)
0500000US48387,"Red River County, Texas",2.5,2.3,52.7,29.6,5.4,12.5,0,100,0,100,3.6,(X),0.3,(X),1,(X)
0500000US48389,"Reeves County, Texas",14.9,2.6,22.4,3.6,0,82.3,-,**,-,**,6.9,(X),8.2,(X),9.3,(X)
0500000US48391,"Refugio County, Texas",4.7,1.8,12.9,5.1,29.6,41.8,0,55.5,0,100,1.3,(X),1.3,(X),1.3,(X)
0500000US48393,"Roberts County, Texas",0,10.2,0,82.3,0,100,0,92,-,**,2.7,(X),2.8,(X),0,(X)
0500000US48395,"Robertson County, Texas",1.8,1.3,14,9.7,0,35.3,4.5,11.6,0,88.4,2.9,(X),4.6,(X),6.4,(X)
0500000US48397,"Rockwall County, Texas",2.3,0.8,14.3,5.9,6.7,6.2,22.4,16,0,13.4,2.5,(X),1.7,(X),2.4,(X)
0500000US48399,"Runnels County, Texas",4,1.4,23.2,7.9,37,43.8,54.5,54.5,-,**,1.9,(X),1.5,(X),3.1,(X)
0500000US48401,"Rusk County, Texas",2.2,0.8,22.5,8.3,0,32.2,22.4,28.1,0,100,2.1,(X),0.7,(X),1.5,(X)
0500000US48403,"Sabine County, Texas",1,0.5,15.2,9.4,0,82.3,-,**,-,**,5.4,(X),14.6,(X),16.2,(X)
0500000US48405,"San Augustine County, Texas",1.4,1.1,32.2,28.7,21.4,32.9,-,**,-,**,4.5,(X),6.1,(X),1.7,(X)
0500000US48407,"San Jacinto County, Texas",1.6,1.2,23.2,14.7,0,50.4,13.3,40.6,-,**,3.1,(X),1.3,(X),2,(X)
0500000US48409,"San Patricio County, Texas",7.5,1.3,16.7,2.8,9.1,9.5,3.5,7.5,0,82.3,1.9,(X),1.6,(X),2,(X)
0500000US48411,"San Saba County, Texas",6,3.2,31,15.4,0,60.2,-,**,-,**,3.4,(X),7.7,(X),7.7,(X)
0500000US48413,"Schleicher County, Texas",2.2,1.6,6.6,5.1,0,100,-,**,-,**,0.8,(X),0,(X),1,(X)
0500000US48415,"Scurry County, Texas",5.8,2.3,19.2,7.9,0,75.1,0,100,0,100,2.4,(X),1.1,(X),1,(X)
0500000US48417,"Shackelford County, Texas",0.6,0.7,7.7,8.8,0,100,-,**,-,**,5.5,(X),4,(X),4,(X)
0500000US48419,"Shelby County, Texas",3.6,1.2,33.8,10.3,0,51,0,65,0,66.4,3.4,(X),4.8,(X),5,(X)
0500000US48421,"Sherman County, Texas",9.4,2.6,29.7,7.6,0,100,-,**,-,**,2.1,(X),3.1,(X),3.9,(X)
0500000US48423,"Smith County, Texas",2.9,0.4,22.7,3.2,2.9,2.4,17,10,28.1,26.3,2.9,(X),2.9,(X),3.9,(X)
0500000US48425,"Somervell County, Texas",4.4,3.4,30.2,22.9,0,100,-,**,-,**,2.5,(X),0.8,(X),2,(X)
0500000US48427,"Starr County, Texas",34.7,2.3,35.5,2.4,0,92,0,100,-,**,1,(X),0.9,(X),1.4,(X)
0500000US48429,"Stephens County, Texas",3.1,1.7,26.3,12.7,0,96,0,71.2,-,**,2.6,(X),0.6,(X),0.6,(X)
0500000US48431,"Sterling County, Texas",8.8,5.7,35.7,18.6,0,100,-,**,-,**,0.8,(X),0.7,(X),0.7,(X)
0500000US48433,"Stonewall County, Texas",0.5,0.7,6.1,8.3,0,75.1,-,**,0,100,1,(X),0,(X),2.6,(X)
0500000US48435,"Sutton County, Texas",12.8,5.1,23.6,9,0,100,-,**,-,**,1.7,(X),1.4,(X),1.7,(X)
0500000US48437,"Swisher County, Texas",4.6,2.1,15.3,7,37.5,55,0,88.4,-,**,2.9,(X),2.5,(X),3,(X)
0500000US48439,"Tarrant County, Texas",6.6,0.2,26.5,1,12.7,2.3,27.9,2.1,17.9,3.7,2.5,(X),2.4,(X),3,(X)
0500000US48441,"Taylor County, Texas",3,0.5,16,2.9,8.6,6.2,38.9,11.7,39,22.8,3.3,(X),2.2,(X),2.9,(X)
0500000US48443,"Terrell County, Texas",8,5.6,13.8,9.7,0,100,-,**,-,**,0,(X),0,(X),0,(X)
0500000US48445,"Terry County, Texas",10.8,2.4,20.6,6.3,69,22.2,-,**,0,100,2.3,(X),3.2,(X),4.2,(X)
0500000US48447,"Throckmorton County, Texas",3.2,2.4,57.1,29.8,0,100,-,**,0,100,1.1,(X),0,(X),3.4,(X)
0500000US48449,"Titus County, Texas",9.3,1.5,33.3,5.3,21.7,24.1,7.8,14.6,0,100,2.2,(X),1.9,(X),2,(X)
0500000US48451,"Tom Green County, Texas",4.4,0.6,15.2,2.3,17.4,15.8,31.4,22.8,0,39.8,2.6,(X),2.2,(X),3,(X)
0500000US48453,"Travis County, Texas",7.5,0.3,26.8,1.1,9.3,2,23.6,2.1,15.9,6.3,3.3,(X),2.5,(X),3.1,(X)
0500000US48455,"Trinity County, Texas",0.8,0.4,14.4,8.1,0,100,20.7,37.4,-,**,1.2,(X),0.7,(X),1.2,(X)
0500000US48457,"Tyler County, Texas",1.2,1.4,24.4,22.1,0,30.7,0,54.6,0,100,3.1,(X),0.7,(X),4.4,(X)
0500000US48459,"Upshur County, Texas",0.9,0.5,20.2,9.7,0,20.6,0,37.8,0,43.3,4,(X),3.4,(X),3.9,(X)
0500000US48461,"Upton County, Texas",8.5,2.9,21,6.5,-,**,-,**,-,**,0.6,(X),0.3,(X),0.3,(X)
0500000US48463,"Uvalde County, Texas",8.6,1.9,14.9,3.4,0,42.2,0,60.2,-,**,3.6,(X),2.7,(X),3.7,(X)
0500000US48465,"Val Verde County, Texas",16.5,1.9,22.1,2.6,0,48,0,26.9,100,100,2,(X),1.6,(X),2.5,(X)
0500000US48467,"Van Zandt County, Texas",1.3,0.5,19.8,6.7,0,28.2,0,48,0,48,3.5,(X),2.7,(X),4.2,(X)
0500000US48469,"Victoria County, Texas",4,0.8,12.6,2.4,7.8,6,45,24.2,0,21.4,2.6,(X),2.7,(X),3.7,(X)
0500000US48471,"Walker County, Texas",2.3,0.7,27.7,9,8,13,14.5,23.8,14.9,20.3,1.4,(X),0.6,(X),1.1,(X)
0500000US48473,"Waller County, Texas",5,1.3,25.3,6.5,16.5,20,0,43.3,0,59.2,2.1,(X),2.6,(X),2.9,(X)
0500000US48475,"Ward County, Texas",7.2,2.4,18.1,6,0,75.1,0,88.4,0,100,1.2,(X),1.2,(X),2.2,(X)
0500000US48477,"Washington County, Texas",2.4,1,19.9,8.6,13.8,10.1,17.9,27.5,-,**,4,(X),3.6,(X),7.4,(X)
0500000US48479,"Webb County, Texas",36.4,1.2,38.3,1.2,0,23.9,16.8,14.2,0,85.1,1.9,(X),1.9,(X),2.1,(X)
0500000US48481,"Wharton County, Texas",6.2,1.4,22.6,4.8,7.9,8,64,57.3,100,57.2,2.7,(X),2.7,(X),2.4,(X)
0500000US48483,"Wheeler County, Texas",5.4,1.8,37.4,11.8,0,61.3,0,49.7,0,100,2.2,(X),0,(X),0,(X)
0500000US48485,"Wichita County, Texas",2.5,0.5,20.7,4.4,16.5,11.8,23.4,10.4,0,31.4,3.1,(X),3.2,(X),4.7,(X)
0500000US48487,"Wilbarger County, Texas",3.6,1.8,26.5,11,0,49.2,76.9,53.9,-,**,2.9,(X),0,(X),0,(X)
0500000US48489,"Willacy County, Texas",14.5,3.2,28,5.7,0,79.6,-,**,0,88.4,1.7,(X),1.6,(X),2.4,(X)
0500000US48491,"Williamson County, Texas",3,0.4,14.2,2,6.6,2.1,18.2,4.8,9.6,7.2,3.2,(X),2.9,(X),3.8,(X)
0500000US48493,"Wilson County, Texas",3.1,0.9,9.9,3.1,15,10.5,0,39.2,46.7,53.3,2.3,(X),1.9,(X),2.5,(X)
0500000US48495,"Winkler County, Texas",12.6,4.3,27.7,8.9,0,100,0,100,-,**,3,(X),1.2,(X),1.2,(X)
0500000US48497,"Wise County, Texas",2.3,0.8,18.1,6.3,11.8,12.6,0,41.1,0,59.2,2.7,(X),0.9,(X),2.2,(X)
0500000US48499,"Wood County, Texas",0.9,0.4,16.6,8.3,0,34.2,45.9,32.4,0,100,2.4,(X),1.4,(X),4.3,(X)
0500000US48501,"Yoakum County, Texas",21.3,6.1,45.5,12.4,38.5,34.9,0,100,-,**,0.4,(X),0.2,(X),0.1,(X)
0500000US48503,"Young County, Texas",4.4,1.6,38.8,13.5,0,58.2,100,100,0,100,5.1,(X),0.8,(X),2.4,(X)
0500000US48505,"Zapata County, Texas",30.3,5.5,33,6,-,**,-,**,-,**,1.2,(X),0.2,(X),0.2,(X)
0500000US48507,"Zavala County, Texas",28.1,4.2,33.8,4.9,-,**,-,**,-,**,2.5,(X),2.2,(X),2.2,(X)