0500000US48367,"Parker County, Texas",52622,572,46943,640,4734,452,860,257,3874,437,105,80,0,35,105,80,242,140,0,35,242,140,77,75,53,66,24,27,106,65,10,16,96,63,73,86,11,18,62,86,62,47,13,18,49,45,83,97,5,9,78,97,16,14,0,35,16,14,131,70,0,35,131,70,30,34,14,28,16,23,20,40,20,40,0,35
0500000US48369,"Parmer County, Texas",3203,153,1470,121,1695,134,391,125,1304,171,0,21,0,21,0,21,38,29,2,3,36,29,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48371,"Pecos County, Texas",5070,180,1782,226,3162,250,276,148,2886,264,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,60,65,0,23,60,65,0,23,0,23,0,23,0,23,0,23,0,23,32,49,0,23,32,49,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,34,55,0,23,34,55
0500000US48373,"Polk County, Texas",18084,482,15664,522,2054,312,255,162,1799,328,0,35,0,35,0,35,44,40,0,35,44,40,0,35,0,35,0,35,13,18,0,35,13,18,22,27,0,35,22,27,7,17,0,35,7,17,3,7,0,35,3,7,13,22,0,35,13,22,67,61,0,35,67,61,81,90,0,35,81,90,116,61,8,8,108,57
0500000US48375,"Potter County, Texas",42824,543,29412,694,11094,518,1825,385,9269,505,67,46,19,32,48,35,129,70,0,35,129,70,32,30,6,13,26,26,88,62,22,23,66,60,38,57,0,35,38,57,49,43,0,35,49,43,374,175,189,129,185,117,74,64,0,35,74,64,808,169,160,105,648,146,199,117,9,16,190,116,460,170,193,135,267,126
0500000US48377,"Presidio County, Texas",2275,248,636,188,1639,280,655,226,984,307,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48379,"Rains County, Texas",4710,264,4288,270,321,144,129,112,192,106,0,23,0,23,0,23,32,43,0,23,32,43,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,29,26,21,26,8,13,0,23,0,23,0,23,2,4,0,23,2,4,6,9,1,2,5,9,0,23,0,23,0,23,32,37,0,23,32,37
0500000US48381,"Randall County, Texas",54984,648,46212,847,6721,608,467,193,6254,616,250,224,0,35,250,224,247,123,37,46,210,107,103,89,22,36,81,82,483,220,9,14,474,220,43,46,15,26,28,34,48,45,0,35,48,45,209,129,130,107,79,70,120,80,41,42,79,71,218,103,25,25,193,98,112,80,3,5,109,80,218,147,29,48,189,160
0500000US48383,"Reagan County, Texas",1090,103,470,102,591,91,69,49,522,98,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,13,21,0,15,13,21,16,19,16,19,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48385,"Real County, Texas",992,114,816,112,176,68,12,13,164,63,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48387,"Red River County, Texas",4662,210,4379,232,222,77,74,55,148,69,11,16,0,23,11,16,32,33,0,23,32,33,0,23,0,23,0,23,7,12,0,23,7,12,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,9,10,0,23,9,10,0,23,0,23,0,23,2,5,0,23,2,5
0500000US48389,"Reeves County, Texas",4117,206,1350,307,2755,280,624,215,2131,281,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,12,20,0,23,12,20,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48391,"Refugio County, Texas",2235,147,1282,133,938,110,75,40,863,119,6,9,6,9,0,21,1,3,0,21,1,3,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,4,5,0,21,4,5,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,4,8,0,21,4,8
0500000US48393,"Roberts County, Texas",320,55,291,54,11,12,0,15,11,12,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,18,20,0,15,18,20,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48395,"Robertson County, Texas",6309,226,5480,244,777,152,121,94,656,161,8,14,0,23,8,14,3,7,0,23,3,7,3,5,0,23,3,5,8,11,0,23,8,11,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,30,46,0,23,30,46,0,23,0,23,0,23
0500000US48397,"Rockwall County, Texas",37881,425,31205,655,4501,497,359,152,4142,503,172,92,0,35,172,92,118,71,0,35,118,71,114,80,6,9,108,81,597,209,32,43,565,200,103,75,0,35,103,75,183,107,0,35,183,107,141,91,3,5,138,90,264,141,0,35,264,141,186,103,0,35,186,103,165,114,0,35,165,114,132,95,21,39,111,86
0500000US48399,"Runnels County, Texas",3780,183,2702,188,1033,118,72,49,961,132,0,21,0,21,0,21,4,6,0,21,4,6,33,37,0,21,33,37,5,10,0,21,5,10,0,21,0,21,0,21,3,5,3,5,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48401,"Rusk County, Texas",17792,431,15674,425,1892,307,487,198,1405,276,50,46,0,35,50,46,7,10,0,35,7,10,12,18,0,35,12,18,42,50,0,35,42,50,0,35,0,35,0,35,5,13,0,35,5,13,9,19,5,10,4,17,5,8,0,35,5,8,82,74,34,60,48,43,0,35,0,35,0,35,14,16,0,35,14,16
0500000US48403,"Sabine County, Texas",4471,286,4237,285,161,92,0,21,161,92,4,6,0,21,4,6,0,21,0,21,0,21,0,21,0,21,0,21,4,7,4,7,0,21,0,21,0,21,0,21,0,21,0,21,0,21,48,47,0,21,48,47,0,21,0,21,0,21,0,21,0,21,0,21,15,24,0,21,15,24,2,7,0,21,2,7
0500000US48405,"San Augustine County, Texas",3051,238,2875,229,167,54,5,9,162,53,0,21,0,21,0,21,9,13,0,21,9,13,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48407,"San Jacinto County, Texas",10064,447,8474,407,1443,268,267,143,1176,315,6,9,0,28,6,9,7,9,0,28,7,9,0,28,0,28,0,28,80,98,0,28,80,98,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,2,3,0,28,2,3,49,71,0,28,49,71,3,4,0,28,3,4
0500000US48409,"San Patricio County, Texas",23920,496,13273,603,10187,642,554,147,9633,613,10,13,0,35,10,13,34,31,0,35,34,31,8,12,0,35,8,12,95,77,48,73,47,27,0,35,0,35,0,35,100,59,21,24,79,57,16,20,6,12,10,17,66,55,0,35,66,55,119,90,0,35,119,90,7,11,0,35,7,11,5,8,0,35,5,8
0500000US48411,"San Saba County, Texas",2014,121,1504,110,462,91,26,20,436,90,0,21,0,21,0,21,25,33,0,21,25,33,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,4,5,4,5,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,19,28,19,28,0,21
0500000US48413,"Schleicher County, Texas",899,112,457,77,438,82,30,25,408,82,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,4,7,0,15,4,7,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48415,"Scurry County, Texas",5693,268,4008,287,1634,256,206,93,1428,265,0,23,0,23,0,23,8,13,0,23,8,13,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,4,7,0,23,4,7,7,8,0,23,7,8,3,5,0,23,3,5,29,38,0,23,29,38,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48417,"Shackelford County, Texas",1324,83,1227,86,74,37,0,15,74,37,0,15,0,15,0,15,16,22,0,15,16,22,0,15,0,15,0,15,0,15,0,15,0,15,7,11,0,15,7,11,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48419,"Shelby County, Texas",8988,261,7747,294,1160,133,311,128,849,175,3,7,0,28,3,7,11,16,0,28,11,16,0,28,0,28,0,28,16,23,0,28,16,23,0,28,0,28,0,28,0,28,0,28,0,28,11,23,0,28,11,23,3,7,0,28,3,7,37,54,8,14,29,51,0,28,0,28,0,28,0,28,0,28,0,28
0500000US48421,"Sherman County, Texas",803,69,509,75,273,63,45,45,228,58,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,21,25,0,15,21,25,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48423,"Smith County, Texas",81286,887,68300,936,10761,477,2489,410,8272,528,101,79,0,35,101,79,191,103,16,26,175,100,161,104,8,13,153,101,362,133,148,112,214,77,99,64,57,45,42,50,146,99,41,43,105,84,241,117,82,84,159,74,325,193,0,35,325,193,91,67,25,38,66,54,52,53,0,35,52,53,456,194,34,45,422,181
0500000US48425,"Somervell County, Texas",3345,189,2843,200,437,112,69,85,368,111,19,29,0,21,19,29,0,21,0,21,0,21,0,21,0,21,0,21,22,36,0,21,22,36,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,24,38,0,21,24,38,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48427,"Starr County, Texas",18634,410,639,225,17966,481,5485,590,12481,631,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,29,55,0,35,29,55,0,35,0,35,0,35,0,35,0,35,0,35
0500000US48429,"Stephens County, Texas",3405,223,2871,222,492,134,127,111,365,124,8,12,0,21,8,12,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,10,5,0,21,10,5,0,21,0,21,0,21,8,10,0,21,8,10,0,21,0,21,0,21,16,27,0,21,16,27
0500000US48431,"Sterling County, Texas",392,54,284,50,108,50,9,17,99,49,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48433,"Stonewall County, Texas",450,68,358,60,78,40,25,34,53,28,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,14,11,0,15,14,11
0500000US48435,"Sutton County, Texas",1068,139,361,106,697,139,138,99,559,118,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,10,16,0,15,10,16,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48437,"Swisher County, Texas",2401,137,1574,123,822,132,77,53,745,134,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,1,2,1,2,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,4,8,0,21,4,8,0,21,0,21,0,21
0500000US48439,"Tarrant County, Texas",754969,2321,532419,2990,152508,2127,28418,1533,124090,2465,6354,922,1362,342,4992,921,2631,382,45,39,2586,379,1592,278,255,136,1337,258,14230,1109,1824,389,12406,1005,2514,443,675,221,1839,392,4226,533,937,207,3289,537,10294,688,3341,520,6953,571,2995,444,106,72,2889,431,7996,932,1086,231,6910,909,6436,973,1063,317,5373,936,10774,1035,1394,336,9380,1019
0500000US48441,"Taylor County, Texas",53888,644,40859,825,10554,654,904,222,9650,638,289,134,143,119,146,78,385,196,0,35,385,196,33,33,10,16,23,28,188,98,0,35,188,98,130,52,11,17,119,50,240,286,12,18,228,286,149,87,7,14,142,85,350,110,25,32,325,109,230,110,62,48,168,86,70,99,0,35,70,99,411,194,210,156,201,112
0500000US48443,"Terrell County, Texas",436,110,238,78,198,78,9,13,189,79,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48445,"Terry County, Texas",4170,201,2111,263,1890,246,387,113,1503,260,5,11,0,23,5,11,153,68,43,45,110,63,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,3,4,0,23,3,4,0,23,0,23,0,23,0,23,0,23,0,23,8,15,0,23,8,15
0500000US48447,"Throckmorton County, Texas",635,69,571,65,49,31,12,18,37,19,0,15,0,15,0,15,7,9,0,15,7,9,4,6,0,15,4,6,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,4,5,0,15,4,5,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48449,"Titus County, Texas",10802,273,7301,301,3330,278,715,174,2615,263,13,16,0,31,13,16,0,31,0,31,0,31,34,39,0,31,34,39,47,68,0,31,47,68,12,22,0,31,12,22,0,31,0,31,0,31,65,32,55,40,10,19,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31
0500000US48451,"Tom Green County, Texas",45449,634,31107,935,13130,707,1447,330,11683,702,142,84,0,35,142,84,234,160,0,35,234,160,116,97,0,35,116,97,136,99,0,35,136,99,119,89,40,42,79,78,9,14,0,35,9,14,49,57,15,31,34,47,144,92,96,74,48,49,93,75,18,32,75,64,129,132,0,35,129,132,41,71,0,35,41,71
0500000US48453,"Travis County, Texas",538109,1698,371278,2992,112337,2099,19353,1298,92984,2020,3309,467,293,186,3016,437,3136,526,122,99,3014,518,2818,432,362,150,2456,390,13071,881,1058,316,12013,857,2680,436,522,163,2158,414,7360,745,1618,395,5742,713,4658,651,1309,301,3349,570,1595,358,116,104,1479,338,7662,807,1136,467,6526,681,2929,604,565,282,2364,524,5276,835,669,266,4607,800
0500000US48455,"Trinity County, Texas",5946,281,5245,245,590,124,190,106,400,105,46,55,0,23,46,55,9,15,0,23,9,15,17,27,0,23,17,27,15,25,0,23,15,25,0,23,0,23,0,23,20,17,0,23,20,17,4,8,0,23,4,8,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48457,"Tyler County, Texas",6811,263,6253,271,373,132,36,42,337,131,59,43,0,23,59,43,27,20,0,23,27,20,0,23,0,23,0,23,28,31,3,6,25,31,1,2,0,23,1,2,0,23,0,23,0,23,27,27,27,27,0,23,38,47,0,23,38,47,5,9,0,23,5,9,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48459,"Upshur County, Texas",14969,294,14052,342,765,170,73,77,692,153,10,9,0,31,10,9,25,40,0,31,25,40,0,31,0,31,0,31,22,23,0,31,22,23,12,19,12,19,0,31,0,31,0,31,0,31,0,31,0,31,0,31,52,69,0,31,52,69,31,32,18,20,13,25,0,31,0,31,0,31,0,31,0,31,0,31
0500000US48461,"Upton County, Texas",1363,84,712,88,642,80,84,41,558,84,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,5,8,0,15,5,8,0,15,0,15,0,15,4,6,0,15,4,6,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48463,"Uvalde County, Texas",8420,344,3634,397,4586,433,716,214,3870,412,0,28,0,28,0,28,22,32,0,28,22,32,0,28,0,28,0,28,8,13,0,28,8,13,0,28,0,28,0,28,24,42,24,42,0,28,0,28,0,28,0,28,0,28,0,28,0,28,146,168,0,28,146,168,0,28,0,28,0,28,0,28,0,28,0,28
0500000US48465,"Val Verde County, Texas",16643,384,4275,426,12215,509,2305,489,9910,557,19,28,0,31,19,28,26,30,0,31,26,30,0,31,0,31,0,31,12,21,0,31,12,21,21,32,0,31,21,32,0,31,0,31,0,31,0,31,0,31,0,31,69,64,0,31,69,64,6,10,0,31,6,10,0,31,0,31,0,31,0,31,0,31,0,31
0500000US48467,"Van Zandt County, Texas",22326,459,20184,541,1902,291,301,143,1601,292,93,99,0,35,93,99,55,43,0,35,55,43,5,8,0,35,5,8,35,27,0,35,35,27,0,35,0,35,0,35,7,6,0,35,7,6,25,35,4,6,21,34,0,35,0,35,0,35,7,13,0,35,7,13,0,35,0,35,0,35,13,18,0,35,13,18
0500000US48469,"Victoria County, Texas",34265,463,24681,641,8859,577,768,228,8091,585,28,36,0,35,28,36,104,77,0,35,104,77,79,52,0,35,79,52,129,107,0,35,129,107,0,35,0,35,0,35,176,96,80,65,96,89,65,53,0,35,65,53,42,45,0,35,42,45,35,31,10,17,25,24,33,37,0,35,33,37,34,42,11,21,23,37
0500000US48471,"Walker County, Texas",24592,539,21127,670,2508,479,194,114,2314,492,55,52,0,35,55,52,13,21,0,35,13,21,51,55,0,35,51,55,58,60,0,35,58,60,17,19,11,21,6,10,40,60,40,60,0,35,10,17,0,35,10,17,100,103,0,35,100,103,64,70,0,35,64,70,0,35,0,35,0,35,549,227,81,101,468,238
0500000US48473,"Waller County, Texas",17780,357,12911,636,4468,515,1023,237,3445,525,19,27,0,35,19,27,95,81,5,8,90,81,6,12,0,35,6,12,88,90,0,35,88,90,0,35,0,35,0,35,13,24,0,35,13,24,30,31,0,35,30,31,32,44,16,31,16,30,93,81,10,17,83,76,17,26,0,35,17,26,8,25,0,35,8,25
0500000US48475,"Ward County, Texas",4264,183,2171,208,2071,204,199,71,1872,201,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,11,12,0,23,11,12,6,10,6,10,0,23,5,12,0,23,5,12,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48477,"Washington County, Texas",14482,426,12625,434,1644,235,234,161,1410,240,0,31,0,31,0,31,62,66,0,31,62,66,94,83,0,31,94,83,0,31,0,31,0,31,24,41,24,41,0,31,0,31,0,31,0,31,0,31,0,31,0,31,33,33,0,31,33,33,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31
0500000US48479,"Webb County, Texas",77797,684,4895,545,71947,853,20763,1053,51184,1169,208,187,0,35,208,187,0,35,0,35,0,35,94,77,13,23,81,72,79,85,8,13,71,84,144,121,0,35,144,121,101,82,28,31,73,78,194,137,0,35,194,137,43,51,16,23,27,54,29,54,0,35,29,54,57,64,0,35,57,64,6,10,6,10,0,35
0500000US48481,"Wharton County, Texas",15148,364,10977,432,3999,395,575,200,3424,418,9,22,0,31,9,22,80,53,0,31,80,53,15,16,0,31,15,16,32,29,8,13,24,28,1,2,1,2,0,31,25,30,0,31,25,30,9,17,0,31,9,17,0,31,0,31,0,31,1,4,0,31,1,4,0,31,0,31,0,31,0,31,0,31,0,31
0500000US48483,"Wheeler County, Texas",1908,109,1528,121,349,74,88,48,261,81,0,15,0,15,0,15,4,7,0,15,4,7,0,15,0,15,0,15,9,10,0,15,9,10,4,7,0,15,4,7,0,15,0,15,0,15,0,15,0,15,0,15,4,5,0,15,4,5,0,15,0,15,0,15,10,16,0,15,10,16,0,15,0,15,0,15
0500000US48485,"Wichita County, Texas",48604,561,40944,710,5761,488,1138,332,4623,484,151,94,6,9,145,95,160,80,4,7,156,80,96,122,0,35,96,122,285,160,135,133,150,78,70,74,0,35,70,74,79,59,18,27,61,53,236,104,90,60,146,89,156,77,31,47,125,67,229,114,23,20,206,112,201,273,0,35,201,273,236,114,10,17,226,114
0500000US48487,"Wilbarger County, Texas",4626,259,3710,246,803,167,131,78,672,169,5,8,0,23,5,8,0,23,0,23,0,23,0,23,0,23,0,23,3,4,0,23,3,4,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,43,63,0,23,43,63,62,23,0,23,62,23,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48489,"Willacy County, Texas",5414,161,1118,187,4296,188,698,151,3598,233,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28
0500000US48491,"Williamson County, Texas",229906,1123,164984,1867,37484,1246,3919,581,33565,1311,1519,383,71,62,1448,377,2166,543,14,19,2152,543,1447,351,206,113,1241,309,6416,581,778,229,5638,502,1739,424,512,179,1227,381,2547,351,774,201,1773,292,1309,312,196,110,1113,300,1060,290,103,92,957,283,6710,576,332,164,6378,558,1125,333,99,83,1026,320,1400,274,202,129,1198,298
0500000US48493,"Wilson County, Texas",17345,291,12005,376,4882,371,367,114,4515,377,0,35,0,35,0,35,128,90,0,35,128,90,219,85,20,25,199,80,30,46,3,8,27,46,0,35,0,35,0,35,0,35,0,35,0,35,27,40,0,35,27,40,0,35,0,35,0,35,43,48,0,35,43,48,0,35,0,35,0,35,11,17,0,35,11,17
0500000US48495,"Winkler County, Texas",2685,124,1128,139,1536,139,115,71,1421,154,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,21,31,21,31,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48497,"Wise County, Texas",24079,401,20307,527,3223,301,686,252,2537,303,3,4,0,35,3,4,29,31,0,35,29,31,75,79,0,35,75,79,81,46,0,35,81,46,0,35,0,35,0,35,53,48,0,35,53,48,16,18,16,18,0,35,105,102,0,35,105,102,168,187,0,35,168,187,9,13,0,35,9,13,10,13,6,10,4,8
0500000US48499,"Wood County, Texas",17824,464,16354,447,1110,183,56,48,1054,192,45,55,0,31,45,55,134,80,0,31,134,80,0,31,0,31,0,31,39,36,0,31,39,36,0,31,0,31,0,31,8,12,1,3,7,12,22,23,22,23,0,31,9,12,0,31,9,12,35,28,0,31,35,28,40,63,0,31,40,63,28,39,0,31,28,39
0500000US48501,"Yoakum County, Texas",2654,148,977,130,1518,146,377,140,1141,202,0,21,0,21,0,21,134,82,7,12,127,82,0,21,0,21,0,21,25,32,0,21,25,32,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48503,"Young County, Texas",7565,257,6507,278,943,146,251,111,692,170,19,22,0,23,19,22,14,17,0,23,14,17,0,23,0,23,0,23,3,7,0,23,3,7,23,40,0,23,23,40,0,23,0,23,0,23,0,23,0,23,0,23,3,5,0,23,3,5,30,52,0,23,30,52,23,30,0,23,23,30,0,23,0,23,0,23
0500000US48505,"Zapata County, Texas",4580,261,403,124,4177,288,1165,233,3012,314,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48507,"Zavala County, Texas",3427,136,202,104,3225,166,448,191,2777,267,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21