"","County","Population_5_Years_Over","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual","Region","Rural_Urban_Stat"
"1","Texas",23280055,3937818,320472,348270,41262,57.5,53.9,74.8,28.4,"State","State"
"2","Anderson",55113,4352,154,105,5,64.9,50.5,95.4,4.9,"Upper East","Rural"
"3","Andrews",13747,3324,81,27,0,63.5,37.5,100,0,"West Texas","Rural"
"4","Angelina",80130,7413,172,360,0,58,69.1,89.7,0,"Southeast","Rural"
"5","Aransas",22118,2244,138,107,50,66.8,42.5,80.3,75.8,"South Texas","Urban"
"6","Archer",8520,280,12,14,0,52.3,30.8,80,0,"Northwest","Urban"
"7","Armstrong",1720,87,4,3,0,74.4,57.1,100,0,"High Plains","Urban"
"8","Atascosa",41674,11484,46,112,22,69.4,56.1,89.7,29.3,"Alamo","Urban"
"9","Austin",26546,2539,21,368,0,55,61.8,81.6,0,"Gulf Coast","Urban"
"10","Bailey",6478,2032,0,0,0,68.2,0,0,0,"High Plains","Rural"
"11","Bandera",19471,1547,65,140,0,83.6,70.7,89.9,0,"Alamo","Urban"
"12","Bastrop",69095,9566,304,282,44,59.8,64.7,81.7,61.1,"Capitol","Urban"
"13","Baylor",3520,91,0,32,0,46.4,0,100,0,"Northwest","Rural"
"14","Bee",30197,8326,99,115,28,78.3,98,63.4,38.9,"South Texas","Rural"
"15","Bell",282057,24226,3982,5014,157,69.4,63.2,77.3,17.6,"Central Texas","Urban"
"16","Bexar",1589642,436185,14664,18909,2622,70.8,55.9,79.3,37.4,"Alamo","Urban"
"17","Blanco",9883,617,7,84,5,46,100,84.5,100,"Capitol","Rural"
"18","Borden",578,48,0,2,0,87.3,0,66.7,0,"West Texas","Rural"
"19","Bosque",17128,1342,18,30,0,62.7,72,59.6,0,"Central Texas","Urban"
"20","Bowie",86491,2723,264,560,26,61.2,41.5,92.5,14,"Upper East","Urban"
"21","Brazoria",289310,37143,7322,5013,180,67.5,69.4,82.5,15.9,"Gulf Coast","Urban"
"22","Brazos",181532,16151,3278,3856,146,57.1,53.7,70.8,17.1,"Central Texas","Urban"
"23","Brewster",8664,2677,64,68,0,86.1,74.4,87.3,0,"Upper Rio Grande","Rural"
"24","Briscoe",1533,178,0,0,0,58.2,0,0,0,"High Plains","Rural"
"25","Brooks",6663,3521,9,13,0,78.2,14.3,100,0,"South Texas","Rural"
"26","Brown",35699,1786,36,33,0,64.8,29.3,31,0,"Northwest","Rural"
"27","Burleson",16089,969,33,209,0,50.9,100,68.4,0,"Central Texas","Urban"
"28","Burnet",40513,2869,21,217,1,55.9,18.3,67,4.5,"Capitol","Rural"
"29","Caldwell",35535,7827,29,59,2,74.9,44.6,82.9,11.1,"Capitol","Urban"
"30","Calhoun",19846,2975,219,99,20,60.5,45.1,100,66.7,"Alamo","Rural"
"31","Callahan",12706,367,10,43,0,70.4,71.4,85.2,0,"Northwest","Urban"
"32","Cameron",369397,158594,1041,953,99,59.4,63.8,64.5,23.7,"South Texas","Urban"
"33","Camp",11527,1004,9,20,22,42.9,100,57.9,73.3,"Upper East","Rural"
"34","Carson",5867,343,10,12,0,80.1,100,100,0,"High Plains","Urban"
"35","Cass",28596,513,35,114,0,63.9,60.3,100,0,"Upper East","Rural"
"36","Castro",7286,2106,0,7,0,58.2,0,100,0,"High Plains","Rural"
"37","Chambers",32154,2907,56,550,0,59.3,28.7,90,0,"Gulf Coast","Urban"
"38","Cherokee",47099,4020,48,129,0,54,38.1,91.7,0,"Upper East","Rural"
"39","Childress",6797,636,13,60,0,75.2,100,55.1,0,"High Plains","Rural"
"40","Clay",10128,165,4,54,0,69.6,100,89.1,0,"Northwest","Urban"
"41","Cochran",2845,674,1,9,0,59.5,50,17.3,0,"High Plains","Urban"
"42","Coke",3134,347,0,3,0,81.6,0,100,0,"West Texas","Rural"
"43","Coleman",8235,241,4,33,0,67.9,100,100,0,"Northwest","Rural"
"44","Collin",730066,46412,29724,28710,2800,57.6,60.1,71.5,23.4,"Metroplex","Urban"
"45","Collingsworth",2783,428,13,7,14,63.1,100,31.8,70,"High Plains","Rural"
"46","Colorado",19563,2545,22,279,0,68,24.4,79.4,0,"Gulf Coast","Rural"
"47","Comal",102769,10643,439,2111,13,70.3,71.7,89.3,13.4,"Alamo","Urban"
"48","Comanche",12969,1458,11,67,0,58.3,100,86.3,0,"Northwest","Rural"
"49","Concho",3906,501,15,13,0,31.7,100,81.3,0,"West Texas","Rural"
"50","Cooke",35725,2644,79,157,6,57,47,87.9,13.6,"Metroplex","Rural"
"51","Coryell",69473,5181,677,1550,43,75.9,58,79.7,30.1,"Central Texas","Urban"
"52","Cottle",1508,116,0,2,0,71.6,0,100,0,"Northwest","Rural"
"53","Crane",4048,1249,0,4,0,65.3,0,100,0,"West Texas","Rural"
"54","Crockett",3362,965,0,5,0,69.4,0,31.3,0,"West Texas","Rural"
"55","Crosby",5593,1270,0,11,0,66,0,100,0,"High Plains","Urban"
"56","Culberson",2232,1124,0,16,0,79.4,0,100,0,"Upper Rio Grande","Rural"
"57","Dallam",6105,943,0,93,0,52.6,0,31.6,0,"High Plains","Rural"
"58","Dallas",2185375,363705,38693,36693,7679,50.1,51.6,73,30.2,"Metroplex","Urban"
"59","Dawson",12793,3108,11,110,0,66.6,100,71.4,0,"West Texas","Rural"
"60","Deaf Smith",17396,5449,22,19,116,61.5,61.1,52.9,77.3,"High Plains","Rural"
"61","Delta",4918,75,0,5,4,38.7,0,100,50,"Upper East","Rural"
"62","Denton",618167,47452,15186,14966,638,56.4,57.2,78.1,15.9,"Metroplex","Urban"
"63","DeWitt",19003,2325,38,256,0,72.7,86.4,96.2,0,"Alamo","Rural"
"64","Dickens",2282,218,0,0,0,63.7,0,0,0,"High Plains","Rural"
"65","Dimmit",9225,3979,0,36,0,59.7,0,97.3,0,"South Texas","Rural"
"66","Donley",3473,132,13,23,0,68.4,86.7,55,0,"High Plains","Rural"
"67","Duval",11019,5101,0,22,0,69.7,0,100,0,"South Texas","Rural"
"68","Eastland",17452,814,49,96,0,61.4,81.7,91.8,0,"Northwest","Rural"
"69","Ector",125969,34084,480,535,73,66.7,66.8,70.8,30.5,"West Texas","Urban"
"70","Edwards",1939,749,0,0,0,78.8,0,0,0,"South Texas","Rural"
"71","Ellis",138877,14801,453,647,94,59.7,65.1,77.7,24.7,"Metroplex","Urban"
"72","El Paso",735487,305384,2939,5163,361,58,51.3,70.2,24.9,"Upper Rio Grande","Urban"
"73","Erath",35781,3506,159,156,0,60.4,72.6,87.4,0,"Metroplex","Rural"
"74","Falls",16698,1584,74,142,0,63.5,59.2,94.7,0,"Central Texas","Urban"
"75","Fannin",31939,1498,103,122,0,60.6,82.4,95.6,0,"Metroplex","Rural"
"76","Fayette",23227,1816,0,764,0,54.9,0,86.5,0,"Capitol","Rural"
"77","Fisher",3752,494,0,12,0,74.1,0,65,0,"Northwest","Rural"
"78","Floyd",5943,1585,0,6,0,72.3,0,100,0,"High Plains","Rural"
"79","Foard",1186,78,3,9,0,83,50,100,0,"Northwest","Rural"
"80","Fort Bend",544450,64848,31743,27822,3271,63.8,59.5,73,27.2,"Gulf Coast","Urban"
"81","Franklin",9906,727,0,10,0,57.4,0,100,0,"Upper East","Rural"
"82","Freestone",18401,1186,11,91,34,61.4,47.8,82.9,100,"Central Texas","Rural"
"83","Frio",16136,7041,0,36,11,72.6,0,55.9,100,"Alamo","Rural"
"84","Gaines",15802,2233,66,2361,0,55.9,68.8,64.4,0,"West Texas","Rural"
"85","Galveston",272873,24909,3128,3959,89,62.5,56.8,80.6,14.2,"Gulf Coast","Urban"
"86","Garza",5861,526,7,23,13,17.8,100,49,40.6,"High Plains","Urban"
"87","Gillespie",23562,2104,1,1360,0,55.6,4.8,84.9,0,"Alamo","Rural"
"88","Glasscock",1195,122,0,2,0,50,0,100,0,"West Texas","Rural"
"89","Goliad",6816,892,7,69,0,69.3,77.8,92.3,0,"Alamo","Urban"
"90","Gonzales",18308,4763,21,191,0,68.4,100,80.4,0,"Alamo","Rural"
"91","Gray",21044,2281,51,161,0,64.1,48.1,96,0,"High Plains","Rural"
"92","Grayson",112853,4921,115,1086,33,54.1,41.4,80.2,16.6,"Metroplex","Urban"
"93","Gregg",112401,7845,566,559,43,49.5,67.9,71,19,"Upper East","Urban"
"94","Grimes",24992,2539,8,156,0,60,6.5,78.2,0,"Central Texas","Rural"
"95","Guadalupe",122842,19283,624,1476,0,70.7,59.6,80.1,0,"Alamo","Urban"
"96","Hale",33212,8562,56,104,0,71,70.9,78,0,"High Plains","Rural"
"97","Hall",3126,391,5,47,0,56.2,100,100,0,"High Plains","Rural"
"98","Hamilton",7995,358,0,7,0,64.5,0,42.1,0,"Central Texas","Rural"
"99","Hansford",5126,1088,8,10,0,58.3,61.5,100,0,"High Plains","Rural"
"100","Hardeman",3865,307,0,0,0,65.5,0,100,0,"Northwest","Rural"
"101","Hardin",50813,966,72,198,12,64.2,32.7,77.9,100,"Southeast","Urban"
"102","Harris",3765122,627660,79152,79599,11473,48.8,48,72.9,29.8,"Gulf Coast","Urban"
"103","Harrison",61363,2527,83,386,0,45.5,54.6,78.6,0,"Upper East","Urban"
"104","Hartley",5681,570,0,85,1,58.3,0,100,100,"High Plains","Rural"
"105","Haskell",5574,398,0,16,14,44.5,0,71.4,51.9,"Northwest","Rural"
"106","Hays",147847,21970,766,1892,27,70.5,66.5,85.3,12.4,"Capitol","Urban"
"107","Hemphill",3574,411,0,6,0,49.2,0,55.6,0,"High Plains","Rural"
"108","Henderson",73943,3435,38,458,0,57.1,23.5,88.5,0,"Upper East","Rural"
"109","Hidalgo",699054,358882,3276,1378,47,61.2,67,65.7,7.2,"South Texas","Urban"
"110","Hill",32787,2557,48,308,4,56.7,55.8,85.2,9.8,"Central Texas","Rural"
"111","Hockley",21311,4755,25,67,32,73.1,52.1,63,94.1,"High Plains","Urban"
"112","Hood",48317,2404,142,278,0,58.6,88.2,95.7,0,"Metroplex","Rural"
"113","Hopkins",32636,2315,89,118,0,52.6,62.7,72.5,0,"Upper East","Rural"
"114","Houston",22302,1231,40,156,0,71,37.4,77.6,0,"Southeast","Rural"
"115","Howard",32657,4962,129,109,24,56.5,40.6,47.4,38.1,"West Texas","Rural"
"116","Hudspeth",3162,1431,0,30,0,57.4,0,86.1,0,"Upper Rio Grande","Urban"
"117","Hunt",80246,5525,236,464,11,63.3,37.8,64.3,9.4,"Metroplex","Urban"
"118","Hutchinson",20482,1977,60,54,0,65.5,75.9,66.2,0,"High Plains","Rural"
"119","Irion",1520,216,5,0,0,72.2,55.6,0,0,"West Texas","Urban"
"120","Jack",8574,451,0,26,0,46,0,100,0,"Northwest","Rural"
"121","Jackson",13036,1907,5,196,0,69.9,55.6,100,0,"Alamo","Rural"
"122","Jasper",33257,984,88,185,15,57.2,59.5,69.5,22.7,"Southeast","Rural"
"123","Jeff Davis",2194,766,0,11,0,80,0,100,0,"Upper Rio Grande","Rural"
"124","Jefferson",234413,17554,3153,3760,140,53.5,55.1,80.2,19.7,"Southeast","Urban"
"125","Jim Hogg",4850,2944,0,0,0,74.8,0,0,0,"South Texas","Rural"
"126","Jim Wells",37681,15017,7,112,25,77,17.1,99,32.5,"South Texas","Rural"
"127","Johnson",140482,11368,392,491,11,62.6,41.2,70,7.7,"Metroplex","Urban"
"128","Jones",19218,2052,47,46,7,55.9,67.1,59.2,100,"Northwest","Urban"
"129","Karnes",14132,3612,0,170,7,70.2,0,80.2,16.7,"Alamo","Rural"
"130","Kaufman",95697,6429,451,362,33,51.7,65.6,75.8,19.9,"Metroplex","Urban"
"131","Kendall",31981,2870,166,432,0,57.2,82.2,67.5,0,"Alamo","Urban"
"132","Kenedy",431,51,0,0,1,55.4,0,0,100,"South Texas","Rural"
"133","Kent",782,22,0,0,0,51.2,0,0,0,"Northwest","Rural"
"134","Kerr",46896,5401,135,276,0,68,55.8,73.5,0,"Alamo","Rural"
"135","Kimble",4358,674,0,13,0,68.1,0,60,0,"West Texas","Rural"
"136","King",227,18,0,0,0,85.7,0,0,0,"High Plains","Rural"
"137","Kinney",3343,1328,33,57,0,77.4,36.7,100,0,"South Texas","Rural"
"138","Kleberg",29423,10210,226,221,19,73.4,61.4,57.9,47.5,"South Texas","Rural"
"139","Knox",3433,412,0,10,0,58.2,0,71.4,0,"Northwest","Rural"
"140","Lamar",46515,1322,47,461,0,61.9,21.5,62,0,"Upper East","Rural"
"141","Lamb",12819,2954,12,11,0,62.4,70.6,81.8,0,"High Plains","Rural"
"142","Lampasas",18572,1325,75,259,56,65.8,64.7,82,70.9,"Central Texas","Urban"
"143","La Salle",6294,2378,20,7,0,60.3,100,54.5,0,"South Texas","Rural"
"144","Lavaca",18050,1611,14,732,0,68.9,66.7,90.2,0,"Alamo","Rural"
"145","Lee",15568,1371,75,317,0,52.8,100,84.7,0,"Capitol","Rural"
"146","Leon",15784,574,0,2,0,39.8,0,13.6,0,"Central Texas","Rural"
"147","Liberty",70451,7027,94,494,0,66.1,59.5,70.1,0,"Gulf Coast","Urban"
"148","Limestone",21835,1105,40,70,11,30.8,38.8,53.7,39.3,"Central Texas","Rural"
"149","Lipscomb",3008,377,0,12,0,52,0,100,0,"High Plains","Rural"
"150","Live Oak",10971,2154,42,66,1,73.3,47.7,100,7.7,"South Texas","Rural"
"151","Llano",18333,557,14,27,0,52.7,100,36.4,0,"Capitol","Rural"
"152","Loving",85,0,0,0,0,0,0,0,0,"West Texas","Rural"
"153","Lubbock",258475,36741,1920,2451,143,74.8,59.4,86.2,16.6,"High Plains","Urban"
"154","Lynn",5467,1207,0,17,0,68.6,0,14.7,0,"High Plains","Urban"
"155","McCulloch",7761,931,44,8,0,65.3,100,100,0,"West Texas","Rural"
"156","McLennan",217932,19554,1096,2266,135,55,49.7,80,38.5,"Central Texas","Urban"
"157","McMullen",662,182,0,0,0,76.5,0,0,0,"South Texas","Rural"
"158","Madison",12855,1789,30,51,0,75.6,88.2,100,0,"Central Texas","Rural"
"159","Marion",9956,286,0,50,0,86.1,0,100,0,"Upper East","Rural"
"160","Martin",4427,706,0,55,0,62.6,0,49.5,0,"West Texas","Urban"
"161","Mason",3779,241,0,86,0,40.2,0,94.4,0,"West Texas","Rural"
"162","Matagorda",34023,5177,181,241,10,58.5,36.7,70.8,16.7,"Gulf Coast","Rural"
"163","Maverick",49350,22583,17,79,127,49.2,36.2,80,39.8,"South Texas","Urban"
"164","Medina",43010,10884,51,296,0,74,100,98.4,0,"Alamo","Urban"
"165","Menard",2094,333,0,33,0,66.7,0,97,0,"West Texas","Rural"
"166","Midland",127270,21969,533,1106,68,62.4,51.8,86.9,16.3,"West Texas","Urban"
"167","Milam",22973,2103,31,214,0,63.3,55.4,92.9,0,"Central Texas","Rural"
"168","Mills",4611,225,0,12,0,41.4,0,66.7,0,"Central Texas","Rural"
"169","Mitchell",8834,1625,34,44,0,71.3,64.2,100,0,"Northwest","Rural"
"170","Montague",18478,1022,20,106,0,69.6,95.2,95.1,0,"Northwest","Rural"
"171","Montgomery",424918,35513,3439,5290,330,52.9,63,83,26.2,"Gulf Coast","Urban"
"172","Moore",19732,5309,107,281,146,60.4,11.9,88.8,69.2,"High Plains","Rural"
"173","Morris",12097,433,0,9,11,56.1,0,72.7,31.4,"Upper East","Rural"
"174","Motley",1113,81,1,0,0,73.6,100,0,0,"High Plains","Rural"
"175","Nacogdoches",60161,4733,313,219,64,54.7,53.2,72.6,59.8,"Southeast","Rural"
"176","Navarro",44229,3900,153,241,0,46,72.5,77.8,0,"Metroplex","Rural"
"177","Newton",13572,205,44,76,0,54.1,41.1,80.2,0,"Southeast","Rural"
"178","Nolan",14025,2206,7,27,14,73.9,100,65.1,100,"Northwest","Rural"
"179","Nueces",316598,84645,2174,2731,73,69.9,57.1,78.4,12.4,"South Texas","Urban"
"180","Ochiltree",9346,2050,6,9,0,52.9,50,100,0,"High Plains","Rural"
"181","Oldham",1934,104,0,12,0,77,0,100,0,"High Plains","Urban"
"182","Orange",76962,1888,316,722,41,66.5,48.3,85.2,56.2,"Southeast","Urban"
"183","Palo Pinto",26099,1153,10,221,6,38.9,17.2,84.5,60,"Metroplex","Rural"
"184","Panola",22284,579,28,22,0,45.6,68.3,100,0,"Upper East","Rural"
"185","Parker",109648,4661,251,596,23,58.5,71.7,77.6,8.2,"Metroplex","Urban"
"186","Parmer",9323,2384,0,34,0,51.8,0,90.9,0,"High Plains","Rural"
"187","Pecos",14309,5226,0,7,0,68.3,0,12.5,0,"West Texas","Rural"
"188","Polk",42991,2963,20,328,62,59.4,24.7,76.3,23.3,"Southeast","Rural"
"189","Potter",110844,17087,1351,689,380,62.1,36,77.7,58.5,"High Plains","Urban"
"190","Presidio",7058,3743,1,92,0,62.2,100,100,0,"Upper Rio Grande","Rural"
"191","Rains",10469,610,23,13,4,81.3,100,41.4,44.4,"Upper East","Rural"
"192","Randall",112903,7020,501,760,388,74.7,43.4,67.3,60.1,"High Plains","Urban"
"193","Reagan",3161,920,0,0,0,57.3,0,0,0,"West Texas","Rural"
"194","Real",3182,393,0,0,0,76,0,0,0,"South Texas","Rural"
"195","Red River",12091,231,8,48,8,39.8,100,65.2,42.1,"Upper East","Rural"
"196","Reeves",12659,4706,8,60,7,58.7,25,78.4,100,"West Texas","Rural"
"197","Refugio",6921,1356,21,6,0,74.9,80.8,10.3,0,"South Texas","Rural"
"198","Roberts",919,15,5,12,0,78.9,100,100,0,"High Plains","Rural"
"199","Robertson",15449,1343,73,121,50,59.8,68.9,97.5,100,"Central Texas","Urban"
"200","Rockwall",73219,5197,592,1016,78,60.1,54.5,77.1,17,"Metroplex","Urban"
"201","Runnels",9814,917,8,11,0,63.8,25.8,37.5,0,"Northwest","Rural"
"202","Rusk",49774,3933,134,130,0,66.5,63.5,87.5,0,"Upper East","Urban"
"203","Sabine",10176,286,0,71,0,68.3,0,100,0,"Southeast","Rural"
"204","San Augustine",8384,165,0,66,0,48.8,0,78.6,0,"Southeast","Rural"
"205","San Jacinto",24864,793,35,124,0,44.9,67.3,100,0,"Southeast","Urban"
"206","San Patricio",60589,14454,178,282,0,70,63.6,77.4,0,"South Texas","Urban"
"207","San Saba",5757,850,15,40,0,66.8,100,100,0,"Central Texas","Rural"
"208","Schleicher",3064,749,0,0,0,77.2,0,0,0,"West Texas","Rural"
"209","Scurry",15600,2863,6,47,0,68.8,17.6,100,0,"Northwest","Rural"
"210","Shackelford",3168,208,0,6,0,65,0,100,0,"Northwest","Rural"
"211","Shelby",23669,1683,52,27,0,50.2,68.4,58,0,"Southeast","Rural"
"212","Sherman",2844,569,6,2,0,59.6,100,20,0,"High Plains","Rural"
"213","Smith",194768,15215,932,1495,93,54.8,56.7,85.3,37.2,"Upper East","Urban"
"214","Somervell",7928,703,14,24,0,53.1,100,100,0,"Metroplex","Rural"
"215","Starr",55162,27075,16,50,0,51.5,94.1,90.5,0,"South Texas","Rural"
"216","Stephens",8950,602,34,9,0,47.7,75.6,100,0,"Northwest","Rural"
"217","Sterling",1139,160,0,3,0,53.7,0,100,0,"West Texas","Rural"
"218","Stonewall",1367,54,0,18,11,62.1,0,94.7,100,"Northwest","Rural"
"219","Sutton",3821,1238,0,4,0,64.5,0,100,0,"West Texas","Rural"
"220","Swisher",7180,1298,13,24,0,66.1,100,55,0,"High Plains","Rural"
"221","Tarrant",1672138,187170,26703,27729,5846,53.3,50.5,72.1,30.6,"Metroplex","Urban"
"222","Taylor",121628,10317,341,1219,328,71.4,32.7,71.6,71.5,"Northwest","Urban"
"223","Terrell",941,361,0,23,0,81.3,0,52.3,0,"West Texas","Rural"
"224","Terry",11570,2429,0,248,11,64.1,0,44.6,100,"High Plains","Rural"
"225","Throckmorton",1554,22,0,3,0,26.8,0,100,0,"Northwest","Rural"
"226","Titus",29113,4549,81,91,0,45.9,48.2,62.6,0,"Upper East","Rural"
"227","Tom Green",102757,16814,403,602,23,72.1,58.4,65.1,14.6,"West Texas","Urban"
"228","Travis",958478,121920,21549,20906,1506,52.4,60.4,77.9,26.7,"Capitol","Urban"
"229","Trinity",13642,457,24,0,0,53.5,80,100,0,"Southeast","Rural"
"230","Tyler",20560,860,0,164,3,73.9,0,100,100,"Southeast","Rural"
"231","Upshur",36852,723,203,197,30,53.3,93.1,76.2,21.3,"Upper East","Urban"
"232","Upton",3007,715,0,3,0,62.6,0,100,0,"West Texas","Rural"
"233","Uvalde",24430,10096,27,93,0,77.7,51.9,76.1,0,"South Texas","Rural"
"234","Val Verde",44488,21086,90,89,12,65.5,47.6,100,34.3,"South Texas","Rural"
"235","Van Zandt",49383,2074,47,187,16,59.5,43.9,94.3,36.4,"Upper East","Rural"
"236","Victoria",80635,13645,283,575,2,74,48.1,71.4,0.9,"Alamo","Urban"
"237","Walker",64362,6111,202,375,35,66.5,69.7,83.1,20,"Gulf Coast","Rural"
"238","Waller",39802,5396,56,221,0,62,58.9,61.8,0,"Gulf Coast","Urban"
"239","Ward",9922,2214,0,20,0,64.3,0,100,0,"West Texas","Rural"
"240","Washington",31647,2041,228,419,0,65.9,83.2,69.8,0,"Central Texas","Rural"
"241","Webb",225234,92685,776,327,0,45.1,65.7,72.6,0,"South Texas","Urban"
"242","Wharton",38170,6499,9,400,31,65.1,14.5,87.3,86.1,"Gulf Coast","Rural"
"243","Wheeler",5014,393,36,15,3,44.5,73.5,100,30,"High Plains","Rural"
"244","Wichita",122121,7063,1045,671,0,57.3,49.5,68.7,0,"Northwest","Urban"
"245","Wilbarger",12491,871,19,62,0,51.4,35.8,100,0,"Northwest","Rural"
"246","Willacy",20450,5570,0,32,0,58.5,0,78.8,0,"South Texas","Rural"
"247","Williamson",392866,36911,6305,8635,386,65.8,61.7,78.5,21,"Capitol","Urban"
"248","Wilson",40372,6372,58,269,7,72.3,40,66.6,53.8,"Alamo","Urban"
"249","Winkler",6517,1638,20,7,0,59.1,74.1,100,0,"West Texas","Rural"
"250","Wise",55416,4413,30,204,21,59.2,50,73.7,48.8,"Metroplex","Urban"
"251","Wood",39751,1216,78,94,0,49.6,44.6,79.3,0,"Upper East","Rural"
"252","Yoakum",7178,1371,8,55,0,38.7,23.5,38.1,0,"High Plains","Rural"
"253","Young",17148,830,0,34,23,40.8,0,100,100,"Northwest","Rural"
"254","Zapata",12432,5995,0,0,0,55.6,0,100,0,"South Texas","Rural"
"255","Zavala",10679,4865,0,0,0,59.1,0,0,0,"South Texas","Rural"
